"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2024","52,500.0","53,300.0","55,100.0","52,500.0","1.61M","-1.13%"
"03/26/2024","53,100.0","53,000.0","54,000.0","53,000.0","1.21M","0.19%"
"03/25/2024","53,000.0","54,200.0","55,400.0","52,600.0","1.26M","-2.21%"
"03/22/2024","54,200.0","53,000.0","56,700.0","53,000.0","4.36M","2.26%"
"03/21/2024","53,000.0","53,200.0","53,400.0","52,800.0","1.86M","0.00%"
"03/20/2024","53,000.0","51,600.0","53,100.0","50,500.0","3.13M","2.71%"
"03/19/2024","51,600.0","52,100.0","52,100.0","51,000.0","765.30K","-0.77%"
"03/18/2024","52,000.0","52,000.0","52,800.0","49,900.0","1.48M","-0.38%"
"03/15/2024","52,200.0","51,600.0","52,800.0","51,000.0","1.43M","0.97%"
"03/14/2024","51,700.0","53,500.0","53,500.0","51,400.0","1.48M","-1.71%"
"03/13/2024","52,600.0","52,200.0","52,600.0","51,800.0","1.40M","1.15%"
"03/12/2024","52,000.0","50,600.0","52,100.0","50,500.0","1.21M","2.97%"
"03/11/2024","50,500.0","51,800.0","52,400.0","50,500.0","1.48M","-1.17%"
"03/08/2024","51,100.0","53,400.0","53,400.0","49,600.0","2.74M","-4.13%"
"03/07/2024","53,300.0","54,400.0","54,400.0","53,200.0","2.13M","-0.93%"
"03/06/2024","53,800.0","54,000.0","54,800.0","53,600.0","949.80K","-1.10%"
"03/05/2024","54,400.0","53,500.0","54,400.0","52,900.0","1.20M","1.68%"
"03/04/2024","53,500.0","53,600.0","54,500.0","52,500.0","2.33M","0.00%"
"03/01/2024","53,500.0","53,300.0","54,300.0","52,400.0","1.25M","0.94%"
"02/29/2024","53,000.0","53,900.0","54,000.0","53,000.0","1.34M","-1.67%"
"02/28/2024","53,900.0","53,200.0","54,800.0","52,300.0","2.34M","1.70%"
"02/27/2024","53,000.0","53,700.0","54,000.0","53,000.0","1.74M","-1.12%"
"02/26/2024","53,600.0","52,800.0","54,500.0","52,000.0","1.53M","2.88%"
"02/23/2024","52,100.0","49,800.0","53,200.0","49,300.0","6.94M","4.72%"
"02/22/2024","49,750.0","49,800.0","49,900.0","49,500.0","1.60M","0.00%"
"02/21/2024","49,750.0","49,750.0","49,800.0","48,900.0","1.85M","0.71%"
"02/20/2024","49,400.0","49,500.0","50,200.0","49,400.0","1.57M","0.20%"
"02/19/2024","49,300.0","48,750.0","50,300.0","48,250.0","3.28M","1.54%"
"02/16/2024","48,550.0","49,000.0","49,000.0","48,300.0","1.35M","-0.82%"
"02/15/2024","48,950.0","48,950.0","49,250.0","48,450.0","1.63M","0.00%"
"02/07/2024","48,950.0","48,800.0","49,050.0","48,600.0","1.86M","0.31%"
"02/06/2024","48,800.0","48,800.0","48,800.0","48,000.0","1.53M","0.31%"
"02/05/2024","48,650.0","47,100.0","49,400.0","47,050.0","2.25M","3.73%"
"02/02/2024","46,900.0","47,300.0","47,500.0","46,700.0","1.95M","-0.74%"
"02/01/2024","47,250.0","47,500.0","47,950.0","47,150.0","1.54M","-0.94%"
"01/31/2024","47,700.0","48,500.0","48,800.0","47,500.0","1.67M","-1.55%"
"01/30/2024","48,450.0","48,800.0","48,900.0","48,200.0","1.12M","-0.51%"
"01/29/2024","48,700.0","48,900.0","49,200.0","48,500.0","984.50K","-0.51%"
"01/26/2024","48,950.0","48,400.0","48,950.0","48,400.0","812.40K","1.14%"
"01/25/2024","48,400.0","48,900.0","49,750.0","48,400.0","1.35M","-1.02%"
