"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2024","25,300.0","25,000.0","27,000.0","23,500.0","11.40M","0.20%"
"03/26/2024","25,250.0","24,400.0","26,400.0","23,200.0","15.61M","2.23%"
"03/25/2024","24,700.0","25,800.0","26,800.0","23,300.0","21.22M","-1.40%"
"03/22/2024","25,050.0","24,750.0","26,100.0","24,750.0","41.53M","1.21%"
"03/21/2024","24,750.0","24,300.0","24,750.0","24,100.0","30.97M","2.48%"
"03/20/2024","24,150.0","23,200.0","24,400.0","23,100.0","39.36M","4.09%"
"03/19/2024","23,200.0","23,200.0","23,350.0","22,950.0","13.61M","0.00%"
"03/18/2024","23,200.0","23,750.0","23,800.0","22,400.0","31.78M","-2.52%"
"03/15/2024","23,800.0","23,450.0","23,850.0","23,150.0","18.89M","1.49%"
"03/14/2024","23,450.0","23,950.0","23,950.0","23,400.0","18.36M","-1.68%"
"03/13/2024","23,850.0","23,100.0","23,850.0","23,100.0","15.27M","3.25%"
"03/12/2024","23,100.0","22,900.0","23,250.0","22,750.0","19.12M","0.65%"
"03/11/2024","22,950.0","23,550.0","23,600.0","22,800.0","34.91M","-2.75%"
"03/08/2024","23,600.0","24,500.0","24,500.0","23,600.0","49.38M","-3.28%"
"03/07/2024","24,400.0","24,700.0","24,800.0","24,350.0","19.76M","-1.01%"
"03/06/2024","24,650.0","24,600.0","25,150.0","24,500.0","22.28M","0.20%"
"03/05/2024","24,600.0","24,200.0","24,650.0","24,100.0","22.77M","1.65%"
"03/04/2024","24,200.0","24,100.0","24,450.0","23,750.0","31.95M","0.83%"
"03/01/2024","24,000.0","24,100.0","24,150.0","23,800.0","20.47M","-0.62%"
"02/29/2024","24,150.0","24,500.0","24,550.0","23,950.0","24.03M","-1.02%"
"02/28/2024","24,400.0","24,350.0","24,550.0","24,150.0","19.28M","0.62%"
"02/27/2024","24,250.0","24,050.0","24,450.0","23,850.0","22.91M","1.04%"
"02/26/2024","24,000.0","23,900.0","24,050.0","23,650.0","21.38M","0.21%"
"02/23/2024","23,950.0","24,000.0","24,700.0","23,750.0","49.05M","0.00%"
"02/22/2024","23,950.0","24,000.0","24,100.0","23,850.0","14.94M","-0.21%"
"02/21/2024","24,000.0","23,850.0","24,200.0","23,700.0","24.98M","0.63%"
"02/20/2024","23,850.0","23,850.0","24,100.0","23,650.0","20.31M","-0.42%"
"02/19/2024","23,950.0","24,000.0","24,100.0","23,600.0","20.95M","-0.21%"
"02/16/2024","24,000.0","24,100.0","24,100.0","23,700.0","16.17M","-0.62%"
"02/15/2024","24,150.0","23,700.0","24,200.0","23,550.0","24.09M","2.77%"
"02/07/2024","23,500.0","23,100.0","23,700.0","23,100.0","21.18M","1.95%"
"02/06/2024","23,050.0","23,000.0","23,150.0","22,950.0","11.52M","0.44%"
"02/05/2024","22,950.0","21,750.0","23,150.0","21,750.0","37.09M","5.52%"
"02/02/2024","21,750.0","21,900.0","22,000.0","21,750.0","15.08M","-0.68%"
"02/01/2024","21,900.0","21,700.0","21,950.0","21,600.0","11.40M","0.69%"
"01/31/2024","21,750.0","22,250.0","22,250.0","21,650.0","27.85M","-1.58%"
"01/30/2024","22,100.0","22,150.0","22,250.0","21,850.0","14.35M","-0.23%"
"01/29/2024","22,150.0","22,000.0","22,450.0","22,000.0","15.67M","0.68%"
"01/26/2024","22,000.0","21,900.0","22,150.0","21,900.0","9.49M","0.46%"
"01/25/2024","21,900.0","21,950.0","21,950.0","21,700.0","14.70M","0.00%"
"01/24/2024","21,900.0","21,850.0","22,150.0","21,800.0","12.69M","-0.23%"
"01/23/2024","21,950.0","22,100.0","22,350.0","21,900.0","15.90M","-0.68%"
"01/22/2024","22,100.0","22,300.0","22,550.0","22,000.0","29.13M","0.23%"
"01/19/2024","22,050.0","21,800.0","22,150.0","21,700.0","21.61M","1.61%"
"01/18/2024","21,700.0","21,400.0","21,750.0","21,300.0","23.62M","0.93%"
"01/17/2024","21,500.0","21,600.0","21,800.0","21,300.0","20.48M","0.00%"
"01/16/2024","21,500.0","21,450.0","21,500.0","21,150.0","17.49M","0.23%"
"01/15/2024","21,450.0","21,500.0","21,900.0","21,400.0","25.08M","0.47%"
"01/12/2024","21,350.0","20,500.0","21,550.0","20,400.0","45.90M","3.39%"
"01/11/2024","20,650.0","20,900.0","21,100.0","20,500.0","24.68M","-1.20%"
"01/10/2024","20,900.0","20,850.0","21,150.0","20,650.0","24.68M","0.24%"
"01/09/2024","20,850.0","20,750.0","20,900.0","20,500.0","19.79M","0.72%"
"01/08/2024","20,700.0","20,600.0","20,850.0","20,400.0","20.15M","0.98%"
"01/05/2024","20,500.0","20,100.0","20,500.0","20,100.0","22.52M","1.99%"
"01/04/2024","20,100.0","19,150.0","20,450.0","19,150.0","49.41M","4.96%"
"01/03/2024","19,150.0","18,750.0","19,200.0","18,700.0","13.85M","1.59%"
"01/02/2024","18,850.0","18,700.0","19,000.0","18,650.0","13.79M","1.07%"
"12/29/2023","18,650.0","18,600.0","18,850.0","18,550.0","13.81M","0.54%"
"12/28/2023","18,550.0","18,400.0","18,600.0","18,350.0","9.88M","0.82%"
"12/27/2023","18,400.0","18,500.0","18,500.0","18,350.0","5.78M","-0.27%"
"12/26/2023","18,450.0","18,400.0","18,500.0","18,300.0","4.26M","0.27%"
"12/25/2023","18,400.0","18,350.0","18,550.0","18,300.0","6.59M","0.55%"
"12/22/2023","18,300.0","18,150.0","18,450.0","18,100.0","8.55M","0.83%"
"12/21/2023","18,150.0","18,100.0","18,150.0","18,000.0","3.98M","0.00%"
"12/20/2023","18,150.0","18,150.0","18,200.0","18,050.0","3.09M","0.00%"
"12/19/2023","18,150.0","18,000.0","18,200.0","17,950.0","5.90M","0.83%"
"12/18/2023","18,000.0","18,050.0","18,150.0","17,950.0","5.28M","-0.28%"
"12/15/2023","18,050.0","18,050.0","18,200.0","18,000.0","5.54M","0.00%"
"12/14/2023","18,050.0","18,150.0","18,200.0","18,000.0","5.30M","0.00%"
"12/13/2023","18,050.0","18,250.0","18,350.0","18,050.0","7.18M","-1.10%"
"12/12/2023","18,250.0","18,150.0","18,250.0","18,100.0","4.88M","0.55%"
"12/11/2023","18,150.0","18,200.0","18,250.0","18,050.0","4.88M","-0.27%"
"12/08/2023","18,200.0","18,250.0","18,350.0","18,150.0","7.47M","-0.27%"
"12/07/2023","18,250.0","18,150.0","18,350.0","18,050.0","13.92M","0.83%"
"12/06/2023","18,100.0","18,050.0","18,150.0","18,000.0","7.01M","0.28%"
"12/05/2023","18,050.0","18,050.0","18,100.0","17,950.0","6.12M","0.00%"
"12/04/2023","18,050.0","17,800.0","18,100.0","17,800.0","17.33M","1.40%"
"12/01/2023","17,800.0","17,850.0","17,850.0","17,700.0","4.41M","0.00%"
